time,RR,beat
1047.408,992,Q
1048.396,988,Q
1049.4,1004,Q
1050.404,1004,Q
1051.4,996,Q
1052.384,984,Q
1053.364,980,Q
1054.352,988,Q
1055.348,996,Q
1056.36,1012,Q
1057.384,1024,Q
1058.388,1004,Q
1059.4,1012,Q
1060.42,1020,Q
1061.192,772,A
1061.952,760,A
1062.62,668,A
1063.788,1168,Q
1064.928,1140,Q
1066.004,1076,Q
1067.084,1080,Q
1068.168,1084,Q
1069.248,1080,Q
1070.308,1060,Q
1071.348,1040,Q
1072.376,1028,Q
1073.412,1036,Q
1074.436,1024,Q
1075.48,1044,Q
1076.536,1056,Q
1077.588,1052,Q
1078.648,1060,Q
1079.712,1064,Q
1080.78,1068,Q
1081.836,1056,Q
1082.932,1096,Q
1083.988,1056,Q
1085.024,1036,Q
1086.08,1056,Q
1087.16,1080,Q
1088.232,1072,Q
1089.316,1084,Q
1090.4,1084,Q
1091.472,1072,Q
1092.536,1064,Q
1093.58,1044,Q
1094.612,1032,Q
1095.604,992,Q
1096.552,948,Q
1097.56,1008,Q
1098.596,1036,Q
1099.64,1044,Q
1100.688,1048,Q
1101.732,1044,Q
1102.792,1060,Q
1103.836,1044,Q
1104.888,1052,Q
1105.928,1040,Q
1106.964,1036,Q
1107.976,1012,Q
1108.956,980,Q
1109.932,976,Q
1110.908,976,Q
1111.908,1000,Q
1112.896,988,Q
1113.904,1008,Q
1114.9,996,Q
1115.9,1000,Q
1116.908,1008,Q
1117.904,996,Q
1118.74,836,A
1119.82,1080,Q
1120.828,1008,Q
1121.848,1020,Q
1122.872,1024,Q
1123.892,1020,Q
1124.888,996,Q
1125.86,972,Q
1126.824,964,Q
1127.776,952,Q
1128.748,972,Q
1129.712,964,Q
1130.664,952,Q
1131.616,952,Q
1132.408,792,A
1133.476,1068,Q
1134.532,1056,Q
1135.564,1032,Q
1136.588,1024,Q
1137.616,1028,Q
1138.64,1024,Q
1139.68,1040,Q
1140.732,1052,Q
