time,RR,beat
1345.456,1052,Q
1346.516,1060,Q
1347.58,1064,Q
1348.664,1084,Q
1349.74,1076,Q
1350.832,1092,Q
1351.904,1072,Q
1352.96,1056,Q
1353.992,1032,Q
1355.048,1056,Q
1356.124,1076,Q
1357.168,1044,Q
1358.244,1076,Q
1359.312,1068,Q
1360.372,1060,Q
1361.416,1044,Q
1362.436,1020,Q
1363.476,1040,Q
1364.484,1008,Q
1365.496,1012,Q
1366.484,988,Q
1367.46,976,Q
1368.488,1028,Q
1369.508,1020,Q
1370.532,1024,Q
1371.576,1044,Q
1372.616,1040,Q
1373.632,1016,Q
1374.676,1044,Q
1375.668,992,Q
1376.664,996,Q
1377.656,992,Q
1378.632,976,Q
1379.652,1020,Q
1380.7,1048,Q
1381.756,1056,Q
1382.784,1028,Q
1383.84,1056,Q
1384.892,1052,Q
1385.928,1036,Q
1386.992,1064,Q
1388.056,1064,Q
1389.136,1080,Q
1390.208,1072,Q
1391.288,1080,Q
1392.372,1084,Q
1393.456,1084,Q
1394.536,1080,Q
1395.6,1064,Q
1396.676,1076,Q
1397.7,1024,Q
1398.716,1016,Q
1399.744,1028,Q
1400.776,1032,Q
1401.82,1044,Q
1402.86,1040,Q
1403.916,1056,Q
1404.932,1016,Q
1405.94,1008,Q
1406.952,1012,Q
1407.976,1024,Q
1408.992,1016,Q
1409.988,996,Q
1410.976,988,Q
1411.968,992,Q
1412.968,1000,Q
1413.98,1012,Q
1414.984,1004,Q
1416.0,1016,Q
1417.028,1028,Q
1418.072,1044,Q
1419.08,1008,Q
1420.108,1028,Q
1421.124,1016,Q
1422.156,1032,Q
1423.188,1032,Q
1424.236,1048,Q
1425.284,1048,Q
1426.304,1020,Q
1427.316,1012,Q
1428.304,988,Q
1429.272,968,Q
1430.272,1000,Q
1431.28,1008,Q
1432.28,1000,Q
1433.284,1004,Q
1434.316,1032,Q
1435.364,1048,Q
1436.4,1036,Q
1437.432,1032,Q
1438.448,1016,Q
1439.456,1008,Q
1440.436,980,Q
1441.42,984,Q
1442.416,996,Q
1443.384,968,Q
1444.34,956,Q
1445.3,960,Q
1446.268,968,Q
1447.228,960,Q
1448.192,964,Q
1449.132,940,Q
